"opt","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12"
29,0.680801862180132,0.628702912411308,0.637507948525878,0.583929415038058,0.649192660950813,0.588794243372673,0.608827173590923,0.557346295950043,0.179402443838468,0.103077816604839,0.642357406960598,0.484715370355052
19,0.633200997889687,0.194416815141897,0.591489822379389,0.570037038263001,0.572940960566267,0.561014434487885,0.139231624405107,0.541724526980577,0.555601281567644,0.518748537169145,0.533339761263735,0.513993130445094
4,0.182287591019755,0.643952130285256,0.54908333621207,0.616578643800253,0.553616715560065,0.572097115587881,0.549440910867689,0.147639247569639,0.545153325743535,0.539627170191311,0.494018787313253,0.493045439830269
22,0.654421058035933,0.638108394828784,0.628900650791006,0.590600476151605,0.58449695745324,0.577462603156341,0.158984477314871,0.139133970551874,0.547138508131001,0.527166612297524,0.57624329454152,0.508209329753796
24,0.62535542851632,0.678914932752732,0.641402464297532,0.621870060857363,0.575565242253971,0.605578142453962,0.154989785844142,0.639955400122988,0.518071400572364,0.551252144246885,0.524476942946998,0.0926926236701902
35,0.695281432286473,0.672016799887958,0.658660882716935,0.59805944062359,0.64154900435232,0.603725162461021,0.624869474612366,0.632155983945576,0.602354544392487,0.124751710845947,0.156227533235925,0.566264117661453
11,0.608076237181423,0.671771600780813,0.16392089086521,0.62582757944862,0.543439233048338,0.581065494722376,0.577338131613494,0.600226903360839,0.53611722208568,0.131949124012576,0.536933482899947,0.5454121751681
25,0.67750586773501,0.204613708612768,0.645134871881366,0.572205440865788,0.622408479102515,0.554295219356765,0.59479494950624,0.543449580160597,0.142705157804586,0.525014874262039,0.539353502735781,0.530166676358733
18,0.659849891681132,0.68413684143233,0.62013394228819,0.639150797726015,0.169094341500469,0.591724778756057,0.584785212847948,0.608004464189255,0.536952572531242,0.593670673910436,0.52893006826963,0.0956141350647933
34,0.653159064258,0.627606280391639,0.702311627985047,0.613236805083472,0.634584224209431,0.552421200347857,0.614641318550437,0.120812559358051,0.64134725595445,0.513035432961597,0.143668111989326,0.506681614395886
32,0.658809040102941,0.610298839748467,0.630073948496153,0.157160306892668,0.616595678283678,0.588704709759137,0.609413110730179,0.551713826376587,0.547718972563206,0.53492090584955,0.109803298052448,0.485965632136541
16,0.620193943876645,0.630241031532505,0.617330255021122,0.622468853356801,0.147889198804977,0.552684961229234,0.5520388351379,0.141800105245327,0.529025591825427,0.52367281892871,0.538677434885518,0.53423342830958
31,0.650688522579816,0.166738831636571,0.622884409493307,0.563119818210869,0.647739785885486,0.568901711833203,0.616596459394384,0.519504264843913,0.597796039414132,0.529095491293213,0.13818069249647,0.539403522806635
